extension(um),extension/L,force(pN),Lpeff(nm)
0,0,0,nan
5e-05,1.26326e-05,1.55852e-06,50
0.0001,2.52653e-05,3.11704e-06,50
0.00015,3.78979e-05,4.67557e-06,50
0.0002,5.05306e-05,6.23411e-06,50
0.00025,6.31632e-05,7.79265e-06,50
0.0003,7.57959e-05,9.3512e-06,50
0.00035,8.84285e-05,1.09098e-05,50
0.0004,0.000101061,1.24683e-05,50
0.00045,0.000113694,1.40269e-05,50
0.0005,0.000126326,1.55855e-05,50
0.00055,0.000138959,1.7144e-05,50
0.0006,0.000151592,1.87026e-05,50
0.00065,0.000164224,2.02612e-05,50
0.0007,0.000176857,2.18198e-05,50
0.00075,0.00018949,2.33784e-05,50
0.0008,0.000202122,2.4937e-05,50
0.00085,0.000214755,2.64956e-05,50
0.0009,0.000227388,2.80543e-05,50
0.00095,0.00024002,2.96129e-05,50
0.001,0.000252653,3.11715e-05,50
0.00105,0.000265285,3.27302e-05,50
0.0011,0.000277918,3.42888e-05,50
0.00115,0.000290551,3.58474e-05,50
0.0012,0.000303183,3.74061e-05,50
0.00125,0.000315816,3.89648e-05,50
0.0013,0.000328449,4.05234e-05,50
0.00135,0.000341081,4.20821e-05,50
0.0014,0.000353714,4.36408e-05,50
0.00145,0.000366347,4.51995e-05,50
0.0015,0.000378979,4.67582e-05,50
0.00155,0.000391612,4.83169e-05,50
0.0016,0.000404245,4.98756e-05,50
0.00165,0.000416877,5.14343e-05,50
0.0017,0.00042951,5.2993e-05,50
0.00175,0.000442142,5.45517e-05,50
0.0018,0.000454775,5.61105e-05,50
0.00185,0.000467408,5.76692e-05,50
0.0019,0.00048004,5.9228e-05,50
0.00195,0.000492673,6.07867e-05,50
0.002,0.000505306,6.23455e-05,50
0.00205,0.000517938,6.39042e-05,50
0.0021,0.000530571,6.5463e-05,50
0.00215,0.000543204,6.70218e-05,50
0.0022,0.000555836,6.85805e-05,50
0.00225,0.000568469,7.01393e-05,50
0.0023,0.000581102,7.16981e-05,50
0.00235,0.000593734,7.32569e-05,50
0.0024,0.000606367,7.48157e-05,50
0.00245,0.000618999,7.63745e-05,50
0.0025,0.000631632,7.79333e-05,50
0.00255,0.000644265,7.94922e-05,50
0.0026,0.000656897,8.1051e-05,50
0.00265,0.00066953,8.26098e-05,50
0.0027,0.000682163,8.41687e-05,50
0.00275,0.000694795,8.57275e-05,50
0.0028,0.000707428,8.72864e-05,50
0.00285,0.000720061,8.88452e-05,50
0.0029,0.000732693,9.04041e-05,50
0.00295,0.000745326,9.1963e-05,50
0.003,0.000757959,9.35218e-05,50
0.00305,0.000770591,9.50807e-05,50
0.0031,0.000783224,9.66396e-05,50
0.00315,0.000795856,9.81985e-05,50
0.0032,0.000808489,9.97574e-05,50
0.00325,0.000821122,0.000101316,50
0.0033,0.000833754,0.000102875,50
